[START OF SIMULATION]
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000237,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000237]=0X54
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X54
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000238,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000238]=0X49
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X49
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000239,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000239]=0X4F
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X4F
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000023A,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000023A]=0X4E
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X4E
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000023B,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000023B]=0X21
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X21
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000023C,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000023C]=0X0A
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X0A
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000023D,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000023D]=0X00
0X00000028:	cmpi r3,0	SR=0X00000042
0X0000002C:	beq 3	PC=0X0000003C
0X0000003C:	pop r31	{R31}=MEM[0X00007FDC]{0X00000002}
0X00000040:	ret	PC=MEM[0X00007FE4]=0X00000058
0X00000058:	pop r31,r2,r1	{R31,R2,R1}=MEM[0X00007FE4]{0X00000002,0X00000000,0X00000000}
0X0000005C:	reti	IPC=MEM[0X00007FF4]=0X00000000,CR=MEM[0X00007FF8]=0X00000000,PC=MEM[0X00007FFC]=0X000001A8
0X000001A8:	cbr sr[1]	SR=0X00000000
0X000001AC:	div r0,r0,r0,r0	R0=R0%R0=0X00000000,R0=R0/R0=0X00000000,SR=0X00000020
0X000001B0:	sbr sr[1]	SR=0X00000022
0X000001B4:	divi r0,r1,0	R0=R1/0X00000000=0X00000000,SR=0X00000022
[SOFTWARE INTERRUPTION]
0X00000008:	bun 21	PC=0X00000060
0X00000060:	cbr sr[5]	SR=0X00000002
0X00000064:	push r1, r2,r31	MEM[0X00007FF0]{0X00000000,0X00000000,0X00000002}={R1, R2,R31}
0X00000068:	l32 r1,[r0+-137]	R1=MEM[0X00000224]=0X8888888B
0X0000006C:	mov r2,576	R2=0X00000240
0X00000070:	call -21	PC=0X00000020,MEM[0X00007FE4]=0X00000074
0X00000020:	push r31	MEM[0X00007FE0]{0X00000002}={R31}
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000240]=0X54
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X54
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000241,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000241]=0X48
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X48
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000242,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000242]=0X4F
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X4F
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000243,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000243]=0X55
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X55
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000244,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000244]=0X20
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X20
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000245,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000245]=0X53
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X53
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000246,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000246]=0X48
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X48
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000247,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000247]=0X41
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X41
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000248,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000248]=0X4C
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X4C
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X00000249,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X00000249]=0X54
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X54
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000024A,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000024A]=0X20
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X20
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000024B,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
0X00000024:	l8 r3,[r2-0]	R3=MEM[0X0000024B]=0X4E
0X00000028:	cmpi r3,0	SR=0X00000002
0X0000002C:	beq 3	PC=0X00000030
0X00000030:	s8 [r1+-0],r3	MEM[0X8888888B]=R3=0X4E
0X00000034:	addi r2,r2,1	R2=R2+0X00000001=0X0000024C,SR=0X00000002
0X00000038:	bun -6	PC=0X00000024
